Test,Id,Year_of_study,Gender,Secondary_school,finale srednja,Cources_mathematics,Cources_statistics,1. task-Maternity hospital,1. task-comment,1.task -comment-code,2. task-lotto,2. task-comment,2. task-comment-code,3. task-correlation,3.task-comment,3.task- comment-code,4. task-worker,4. task -comment,4.task-commnet-code,5. task-urn,5. task-comment,5.task-comment-code,6.task-lawyer_or_musician,6.task- comment,6. task -comment-code,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19-obrnuto,19,20,Komentar
D,11,first,m,g,gimnazija,0,no,,,,g,"Zato što  svaki od 39 brojeva ima jednake šanse, pa posle takođe svaka od 38 kuglica ima jednake šanse da bude uzvučena i tako dalje...",11,,,,a,Zato što je 70% radnika te kompanije  inženjeri informacionih tehnologija.,11,v,Tačan račun.,111,a,Zato što se marko od malena zanimao za pozorište muziku i umetnost a ne za pravo.,1,4,3,4,4,5,5,4,5,5,3,4,4,3,3,2,5,5,5,5,1,5,
D,12,first,m,g,gimnazija,0,no,,,,v,Zato što je veća verovatnoća da budu izvučeni brojevi iz sredine (10-30)a takođe da budu i brojevi sa krajeva ali u manjoj meri.,1,,,,a,Zbog odnosa broja radnika.,11,b,"U slučaju da je veći broj kuglica, šanse d aizvučena kuglica bude crvena su najveće, čak i da ima ukupno 10 kuglica (9 od 10), šanse za dobitak su veće od 50%.",2,a,"Bez ikakvih sporednih uslova najverovatnija je tvrdnja pod a., zbog svojih ambicija i veće verovatnoće uspešnosti u tome",1,3,2,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,
D,13,first,m,g,gimnazija,0,no,,,,v,,0,,,,a,"Iz informacije da je Milan mlad, još uvek ambiciozan i perspektivan, znači da milan verovarno nije išao na pravo, jer nije lako pravo mlad završiti.",12,a,Pogrešan račun.,1,a,Da Marko studira pravo ne bi imao vreman za te stvari pa je Marko klarinetista.,1,4,2,3,5,5,5,3,5,5,5,5,3,5,3,3,4,5,4,3,3,5,
D,14,first,m,v,elektro,0,no,,,,g,Nasumično se izvlače loptice osim ako nije namešteno.,11,,,,a,"Logika, jer pravnici ne znaju da plivaju.",13,a,Gde je veća šansa manja je kvota.,3,,,99,2,3,4,4,5,5,4,5,3,3,4,3,3,4,5,5,5,4,2,4,5,Bilo je zanimljivo raditi test.
D,15,first,m,g,gimnazija,0,no,,,,v,Sve imaju istu šansu da ne dobiju.,3,,,,v,Zato što se može izabrati ili neko sa diplomom inženjera informacionih tehnologija ili neko sa diplomom pravnika.,1,a,Prva igra jer su šanse podjednake.,1,a,Njegova ljubav prema pozorištu i muzici može ali ne mora da utiče na njegov odabir ali je verovatnija tvrdnja a.,1,1,1,3,4,5,3,3,5,5,5,3,3,5,5,5,5,5,5,1,5,5,Zanimljivo!!!
D,16,first,m,g,gimnazija,0,no,,,,v,,0,,,,v,"Možda jeste, možda nije. Odnosno veće su šanse  da bude inženjer informacionih tehnologija ali i ne mora biti.",1,a,Jednostavno ili imam sreće da je izvučem ili neću imati.,1,a,Verovatno se bavi onim što ga najviše zanima i koju će najlakše izučiti.,1,1,2,4,3,5,3,4,4,5,3,4,3,3,3,4,5,5,3,4,2,5,
D,17,first,m,g,gimnazija,0,no,,,,v,Najmanje brojeva koji su bliski,1,,,,a,Izgleda najlogičnije,11,b,Izgleda najlogičnije,3,a,Podjednako su verovarne obe tvrdnje.,2,3,2,4,2,5,4,4,2,3,3,2,2,4,2,4,4,3,3,4,2,4,Statistikom se bavi onaj ko mora
D,18,first,m,g,gimnazija,0,no,,,,g,,10,,,,a,,10,a,Zbog najvećeg broja kuglica koje se biraju.,1,a,Zbog njegovog interesovanja.,1,1,3,3,3,5,5,3,5,3,3,2,3,2,3,5,2,2,4,3,3,3,
D,19,first,m,g,gimnazija,0,no,,,,g,Svaki broj ima podjednake šanse da bude izvučen.,11,,,,a,Ima više radnika inženjera pa su zato i već šanse.,11,a,50-50 su najveće šanse.,1,b,"Zato što je znanje pravnika bolje plaćeno, više se ne radi ono što se voli.",12,1,3,4,5,5,5,5,5,5,2,5,5,5,5,3,5,5,4,1,5,5,
D,20,first,f,g,gimnazija,0,no,,,,v,Jer su male šanse da kombinacija bude parni niz a veće da bude niz nasumičnih brojeva.,1,,,,v,"Ili smo izabrali inženjera ili ranika, pa su šanse 50:50.",1,v,Jer je mnogo veći broj kuglica crvene boje pa su najveće šanse da se izvuče jedna crvena u 7 izvlačenja.,12,a,Ako voli umetnost veće su šanse da poželi da se bavi nečim što ima veze sa tim.,1,2,2,4,3,4,5,5,4,3,4,2,2,2,3,3,4,4,4,4,2,3,
D,21,first,m,v,elektro,0,no,,,,v,Bira se 7 od 39 brojeva i svi imaju ššansu 7/39.,2,,,,a,Zato što ima 70% radnika sa diplomom inženjera.,11,b,"Za prvu su šanse 50%, za drugu su 90% a za treću 10%",2,a,Zato što bi člana filharmonije pre zanimala umetnost i pozorište nego pravnika.,1,3,3,4,4,5,4,4,3,3,3,4,4,4,2,4,5,4,3,4,2,5,
D,22,first,f,g,gimnazija,0,no,,,,g,Sve imaju podjednake šanse da budu izvučeni.,11,,,,a,70% radnika su diplomirani inženjerei IT...,11,b,Prilikom svakog izvlačenja su veće šanse da izvučem crvenu kuglu jer ih ima više.,2,a,Svi muzičari bi trebalo da vole muzku i da se češće sreću sa operom i pozorištem.,1,2,2,4,3,5,3,4,4,3,2,3,3,4,5,5,4,5,4,3,3,5,
D,23,first,f,g,gimnazija,0,no,,,,g,Nikada se ne zna koji brojevi mogu biti izvučeni,11,,,,v,ili je pravnik ili je inženjer,1,b,Jer ako je 9 crvenih i jedna bela vrlo je moguće da se izvuče crevena.,2,b,Ako voli muziku ne znači da ima sluha.,12,1,1,5,4,5,4,3,5,2,3,2,1,2,3,4,5,3,3,5,1,5,Nisam ponosana na svoje znanje iz statistike.
D,24,first,m,g,gimnazija,0,no,,,,g,"Biranje je nasumično, jednake su šanse za svaki broj.",11,,,,a,Pošto je biranje nasumično a inženjera ima najviše veće su šanse.,11,a,Za prvu su 50-50 a za istale nisam siguran ali mislim da su manje.,1,b,I mene zanima pozorište i muzika pa evo me gde sam.,13,2,1,5,4,5,5,5,3,3,2,4,3,4,3,4,5,4,5,5,1,5,
D,25,first,m,g,gimnazija,0,no,,,,g,Sa garancijom da ništa nije namešteno sve kombinacije imaju jednake šanse da budu dobitne.,11,,,,a,Po prostoj kombintorici imamo 70% povoljnih slučajeva što je rešenje zadatka.,11,a,,0,a,Odgovor pod a je krajenje logičan zato što su sve sfere života za koje je Marko pokazao ineteresovanje  u bliskoj vezi sa njegovim zanimanjem.,1,4,3,4,4,5,5,4,3,2,3,4,4,5,5,4,3,5,5,5,1,3,Bilo je lepo i korisno.
D,26,first,m,v,elektro,0,no,,,,g,Ne pamte se prethodna izvlačenja zato su šanse iste.,11,,,,a,Biramo samo jednog radnika od nekog broja.,11,b,"prva 50%, druga velika šansa veća od 50% i treća mala šansa manja od 50%.",2,a,Jer svira klavir i opere obožava.,1,1,4,5,5,5,2,5,5,5,5,5,5,5,5,5,4,5,5,5,1,5,
D,27,first,m,g,gimnazija,0,no,,,,g,Zbog kombinacija svaki elemenat ima jednake šanse da bude izvučen.,11,,,,a,Više inženjera samim tim su veće šanse.,11,a,Najbolje su šanse 50-50.,1,b,Procenat pravnika je veći u državi nego procenat filharmonista.,11,1,3,4,4,5,4,4,4,3,3,2,2,3,2,4,5,4,3,3,3,4,
D,28,first,f,v,elektro,0,no,,,,g,Nema odrđenog pravila za izvlačenje kuglica tako da svaka kombinacija ima jednake šanse.,11,,,,a,"Pošto ima 70% inženjera, logično je...",11,b,U drugoj igri ima najveći procenat crvenih kuglica pa odatle sledi da će to biti najveća šansa za izvlačenje.,2,a,Pošto marko voli umetnost i pozorište verovatno se trudio da nauči da svira klarinet i postane član beogrdske filharmonije.,1,2,3,3,4,5,4,5,5,5,5,5,4,5,5,5,5,5,3,4,2,5,
D,29,first,m,g,gimnazija,0,no,,,,g,"Uvek se izvlači 7 od 39 brojeva tako da su šanse podjednake. Prva dva izvlačenja deluju malo savršeno, ali ako izvlačenje nije namešteno i jeste nasumično, šanse su iste.",11,,,,a,"Pošto ima 70% radnikasa tom diplomom, kojeg god radnika izaberem postoji 70% šansi da ima tu diplomu.",11,b,Najveće šanse su u drugoj igi jer se kugla vraća  pa uvek imamo više šanse da izvučemo crvenu kuglu.,2,a,Ako ga zanimaju pozorište i muzika veće su šanse da svira klarinet u beogradskoj filharmoniji.,1,2,3,3,4,5,4,4,4,4,3,4,4,2,3,3,5,5,4,4,2,5,
D,30,first,f,g,gimnazija,0,no,,,,g,Jer je izbor slučajan,11,,,,a,Jer ima toliko zaposlenih.,11,b,Jer su šanse najveće.,2,a,Jer ga je to oduvek zanimalo.,1,3,3,5,5,5,5,5,4,3,4,5,5,2,1,5,5,5,5,5,1,5,
D,31,first,m,g,gimnazija,0,no,,,,v,Kombinacije a i b su malo verovatne jer su uređene a kombinacija pod v je verovatnija jer su porećani brojevi bez određenog pravila.,1,,,,a,Kratak račun.,11,a,Smatram da su najveće šanse kada je 50 50.,1,a,Iz teksta možemo zaključiti da je zavoleo muziku i nastavio da radi to što voli.,1,1,2,2,4,5,3,5,5,4,3,3,1,3,2,4,5,5,5,4,2,5,
D,32,first,m,g,gimnazija,0,no,,,,g,Od istih 39 brojeva se bira 7 razlicitih. Tih 7 brojeva mogu biti bilo koji,11,,,,a,Logicno je,11,b,"Sansa 50% da se izvuce crvena kuglica pod b) 90% sanse, pod c) 10% sanse",2,b,"Drzava je takva da je Marko morao da bude pravnik, jer od muzike ne bi mogao da zivi!",13,1,3,4,4,5,5,4,3,1,3,3,3,3,3,3,5,5,5,5,1,5,
D,33,first,f,g,gimnazija,0,no,,,,b,Dvocifrenih brojeva od 1 do 39 ima vise nego jednocifrenih,2,,,,v,Ima dve profesije,1,b,U urni ima crvenih kuglica vise nego belih. Posto je izvlacenje bez vracanja broj crvenih se ne smanjuje drasticno,2,a,Iste su sanse! On bira da li ce se baviti onim od cega ce imati vise novca ili se bavi onim sto voli,2,1,1,4,5,5,4,3,5,3,4,3,2,4,3,4,5,5,5,3,3,5,
D,34,first,m,g,gimnazija,0,no,,,,g,Igra na srecu Svaka kombinacija moze biti dobitna,13,,,,v,Mogli su izvuci ili pravnika ili inzenjera,1,a,Jer ima 50-50% sanse da se izvuce a za ostale igre sanse su manje,1,b,Ako je clan filharmonije i svira klarinet ne mora da znaci da voli umetnost,12,1,3,5,5,4,5,4,5,1,2,3,1,3,4,4,5,5,3,2,4,5,
D,35,first,m,v,elektro,0,no,,,,v,"Ova kombinacija ima najvise sansi jer je premala verovatnoca da se izvuce 7 uzastopnih brojeva, nasumicno izvucenih brojeva",1,,,,a,Vece su sanse da je izenjer jer ima vise radnika zaposlenih u toj struci,11,a,,0,a,S obzirom na njegova interesovanja najverovatnije je clan filharmonije,1,1,2,4,2,5,4,4,5,1,2,1,1,4,3,3,5,4,4,4,2,5,
D,36,first,m,g,gimnazija,0,no,,,,g,Zato sto se brojevi izvlace nasumicno,11,,,,a,Inzenjera ima vise,11,a,Zato sto su sanse 50%,1,a,Voli taj posao,1,2,4,3,5,5,5,5,5,4,3,4,4,3,4,4,5,5,5,4,2,4,
D,37,first,f,v,elektro,0,no,,,,g,,10,,,,v,,0,b,,0,a,,0,1,2,4,2,5,3,2,4,3,3,2,1,4,2,2,4,5,4,3,3,5,
D,38,first,f,g,gimnazija,0,no,,,,g,Svi imaju iste sanse (pogresan racun),11,,,,v,"Zato sto je Milan jedan, a profesije dve. Dakle, 50-50",1,a,,0,b,Zato sto mu profesija ne odredjuje stvari i slobodno vreme,12,1,2,4,4,5,4,3,4,3,2,2,2,3,3,4,3,3,2,5,1,5,
D,39,first,m,g,gimnazija,0,no,,,,g,numerisanje loptica na izlacenje istih,13,,,,a,,11,a,"cisto 50, 90% i tako 7 puta sto je manje od 50%",1,b,Clanova filharmonije je manje nego pravnika u Srbiji,11,1,2,4,4,4,5,5,3,3,4,3,3,1,4,4,5,3,5,5,1,4,
D,40,first,f,g,gimnazija,0,no,,,,v,Uglavnom (koliko sam gledao loto) par brojeva manjih od 10 i mnogo vise oko 20 bude izabrano,1,,,,a,Posto je vecina radnika sa diplomom inzenjera,11,b,Posto je sa vracanjem a vec ima crvenih u vecini,2,b,Zbog kapitalizma,13,2,3,5,5,5,4,4,5,4,5,3,3,5,4,4,5,5,4,5,1,5,
D,41,first,f,g,gimnazija,0,no,,,,g,Svaki broj ima podjednake šanse da bude izvučen.,11,,,,a,Sanse da izaberemo inzenjera su vece,11,v,"Pod a su sanse 50-50% da izvucemo 1 crvenu. Mislim da imamo najvece sanse da povucemo bar 1 crvenu kuglicu, gde je vecina bela, ako imamo 7 pokusaja. Pod b) ne bismo smeli da pogresimo",11,b,Pitanje bi bilo suvise ocigledno da je odgovor pod a,12,1,2,3,4,5,5,4,5,4,3,3,2,4,4,4,5,3,4,4,2,5,
D,42,first,m,g,gimnazija,0,no,,,,g,Svi brojevi mogu biti izvuceni u istim %,11,,,,v,50% su sanse da je Milan inz. Inf. Tehnologija jer je ili jedno ili drugo,1,v,Valjda necete biti toliki baksuz da svaki put izvucete bele kuglice od 7 puta,11,a,To se podudara sa njegovim interesovanjima,1,2,2,4,4,5,3,2,4,3,4,3,3,3,3,2,4,5,2,3,3,5,
D,43,first,m,g,gimnazija,0,no,,,,v,Vrlo raznovrsna grupa. Smatram da ima bolje sanse od a) i b),1,,,,a,Odnos radnija je 7:3 u korist radnika sa diplomom inzenjera inf the. Ukoliko je na slucajan nacin odabran radnik veca je sansa da je on iz grupa radnika sa diplomom inf. The,11,v,7 sansi je bolja od jedne u ovom odnosu kuglica,11,a,Odgovor pod a spada u njegov skup interesovanja. Logicno je da su vece sanse da ce se covek baviti necim sto ga interesuje,1,2,1,5,3,4,4,3,4,4,4,4,3,3,3,3,4,5,3,4,2,4,"Vasa fascinacija statistikom me saprepascuje, koleginice pa moglo je i krace"
D,44,first,f,v,elektro,0,no,,,,a,"Jer ima za 1 vise naparan broj od parnih, a kombinacija pod a ima najvise neparnih brojeva",2,,,,v,"Imamo dva ponudjenja profila, samim tim su sanse 50:50",1,b,netacan racun,2,b,"To sto ga je zanimalo, ne znaci da je nadaren za taj posao",12,2,2,4,4,5,3,4,4,1,3,2,1,4,4,3,5,1,1,3,3,5,"Treba cesce sprovoditi ovakve ankete, da bi bolje videli ""stanje"" studenata"
D,45,first,m,g,gimnazija,0,no,,,,g,"Na kraju krajeva moze bilo koji broj da se stvori, tako da ove slucajnosti nisu ni malo slucajne",11,,,,a,"Pa ovde ste pokusali da me upecate na stereotip, kao inzenjer inf. The ne vezba i te fore",13,v,netacan racun,12,b,A pravnici mi lice na to da su takav tip,12,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,Kul anketa 10/10 svidja mi se
D,46,first,f,g,gimnazija,0,no,,,,v,"U pitanju su kombinacije, dakle nije bitan redosled i ucestvuju svi elementi. Malo je verovatno da to budu samo dvocifreni brojevi ili brojevi redom od 1 do 7.",1,,,,b,,0,a,"50-50 su sanse da se izvuce jedna crvena kuglica, puno manje da se izvuce sedam crvenih",2,b,Marko je vjerovanto pravnik jer je to perspektivnije u nasem vrmenu,13,1,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,3,5,
D,47,first,m,g,gimnazija,0,no,,,,g,Brojevi se proizvoljno generisu,11,,,,a,Ako inf. Inzenjera ima 70% onda je verovatnoca da se jedan od njih izvuce veci od 50% -> 70%,11,b,Ima vise posto crvenih,2,a,"Marko je od malena sklon ka umetnosti, voli muziku i opere pa je odatle verovatnije da se bavi muzikom i svira klarinet",1,1,3,5,4,5,5,3,4,,,,,,,,,,,,,,
D,48,first,m,g,gimnazija,0,no,,,,v,"Manje su sanse da imaju tacno odredjeni poredak, da idu jedan za drugim",1,,,,a,Ako imamo 100 radnika njih 70 ce biti sa diplomom inzenjera,11,v,Imamo 7 sansi da izvucemo 1 crvenu,11,a,Uticaj umetnosti u detinjstvu,1,3,4,5,4,5,4,3,4,3,2,3,2,2,3,4,5,4,3,4,2,5,"Iako mislim da sam sturo i lose odgovorio na pitanja, svideo mi se upitnik"
D,49,first,m,g,gimnazija,0,no,,,,g,Apsolutno je nemoge reci da bilo koja kombinacija ima vise sansi,12,,,,a,Zbog vece brojnosti inzenjera vece su sanse da je slucajan uzorak upravo jedan od njih,11,a,"Mislim da je prvi izbor najverovantiji jer u njemu uvek imamo 50% sanse da izvucemo crvenu kuglicu dok se kod druga dva primera, u praksi, sanse smanjuju ispod 50%",1,a,"Uzevsi u obzir da o Marko samo znamo njegove sklonosti na prvi pogled bi zakljucili da je verovatnije da je clan filharmonije, medjutim ne znamo da li on voli prava ili ne. cime je tekso reci da je bilo koja od tvrdnji verovatnija",2,1,1,5,4,5,5,4,3,3,3,4,3,5,5,5,5,5,4,4,2,5,
D,50,first,m,g,gimnazija,0,no,,,,v,"Zato sto je ovde sreca da cemo da pogodimo brojeve pod a koji su poredjani od 1 do 7 manja, kao i pod b. Onda mi se cini da je pod v tacan odgovor",2,,,,v,Zato sto mi je 50% nekako najblizi 30% i 70%,3,v,Zato sto imam 7 sansi da pogodim,11,a,"Zato sto ne postoje bilo kakvi znakovi u tekstu koji imaju veze sa pravima, pa je onda i verovatnije da se on bavi muzikom",1,2,2,5,4,5,5,4,4,4,4,5,3,5,4,4,5,3,4,3,3,5,Hteo sam da napisem ali nisam stigao
D,51,first,f,g,gimnazija,0,no,,,,v,"Kod prve kombinacije su brojevi bez ikakvog razmaka, tako da su male sanse da posle jedinice odmah izvlaci dvojku i tako redom, jer treba vremena da se obidje krug do odabira (ne idu odmah jedna za drugom) isto tako sto se tice i druge pritom bi takav redosled kao i prvi bio predvitim, tako da mi odgovor pod b deluje najbolja opcija",1,,,,v,"Iako je u kompaniji zaposleno 70% radnika, odlucila bih se za 50% jer je u pitanju slucajni odabir, tako da mislim da su sanse da je zaposlen kao inzenjer it jednaka sa onim da je pravnik",1,v,"U prvoj igri kako su sanse 50% nema mogucnosti za sledecim izvlacenjem, tako da mi opcije pod b i v deluju prihvatljive. Isto pod b) imamo vise crvenih kuglica potreban je i veci broj istih, tako da iz svega navedenog sledi moj odgovor pod v) zato sto mora najmanje jedna",11,a,"Naravno da zavisi od licnosti same osoba, ali mislim da su vece sanse da odabere ono sto ga interesuje",1,1,2,4,4,5,4,5,4,4,4,3,3,4,4,4,5,5,4,4,2,4,
D,52,first,f,g,gimnazija,0,no,,,,g,Jer postoji skoro beskonačno kombinacija!,11,,,,a,Jer postoje 2 mogućnosti.,1,a,Dat je račun ali netačan.,1,a,,0,1,5,3,5,5,5,4,5,4,3,5,4,5,5,5,5,5,5,2,4,5,
D,53,first,m,g,gimnazija,0,no,,,,g,Nije bitno kojih sedam brojeva izvlačim jer ima 39  nad 7.,11,,,,v,"Izaber radnika može biti ili inženjer ili pravnik, znači pola pola",1,v,U sedam izvlačenja 9:1 šanse da se makar jednom dogode.,12,a,Verovatno je da će Marko pratiti ono što voli i od tog napraviti zanimanje.,1,5,3,5,5,4,5,5,3,3,3,5,5,5,5,5,5,5,5,5,1,5,
D,54,first,m,g,gimnazija,0,no,,,,g,Brojevi se izvlače nasumično,11,,,,a,Jer u kompaniji radi 70 % radnika sa diplomom  inženjerea inf. Tehnologija.,11,a,"Lakše je izvući jednu kuglicu gde su pola pola, nego sedam za redom gde su skoro sve crvene ili bar jednu gde su skoro sve bele.",1,a,Marko je bio ambiciozan dečak koji je sledio svoje snove.,1,1,1,2,4,5,4,4,4,1,5,1,1,4,1,3,3,2,2,4,2,5,Statistika bi mogla da unapredi školovanje u budućnosti.
D,55,first,m,g,gimnazija,0,no,,,,g,"Ako igra loto nije nameštena, svaki broj ima jednaku šansu da bude izvučen , što znači da svaka kombinacija može biti dobitna.",11,,,,a,Zato što ih ima 70% i on je jedan od njih.,11,a,"Zato što su u prvoj igri šanse pola pola, dok u ostalim igrama imamo više šansi da izvučemo belu kuglicu jedan ili više puta za redom.",1,b,Marko je pod uticajem svojih roditelja upisao pravni akako bi njegovi roditelji bili ponosni. U slobodno vreme ide u operu i zauvek će se kajati što nije sledio svoje snove već snove svojih roditelja.,13,1,1,5,5,5,4,4,5,3,3,4,3,5,4,5,5,4,2,1,5,5,Veoma interesantno.
D,56,first,f,g,gimnazija,0,no,,,,g,"Pod pretpostavkom da su sve kombinacije slučajne, to znači da ne postoji odrečeni algoritam  biranja, te sve imaju jednake šanse.",11,,,,v,Bez obzira na broj radnika podjedanke su šanse da je Milan i inženjer i pravnik.,1,b,"Ako je više kuglica u boji koja nam je neophodna, a takođe postoji više izvlačenja što ostavlja više prostora za ispravljanje grešaka.",2,b,"I ako voli umetnost i pozorište, ne mora da znači da je to njegovo zanimanje.",12,3,3,4,3,5,4,4,3,3,5,5,4,5,4,4,5,5,5,3,3,5,
D,57,first,m,g,gimnazija,0,no,,,,g,Sve imaju jednake šanse jer se izvlače slučajno.,11,,,,a,Zato što ima 70% radnika sa diplomom inženjera.,11,a,Smatram da ima najveće šanse.,1,a,Ako to voli na to se fokusirao.,1,1,3,4,4,4,4,3,4,3,3,4,3,4,4,4,4,4,3,3,3,4,
D,58,first,m,g,gimnazija,0,no,,,,g,Ne igram loto pa su mi sve kombinacije podjednako dobitne.,13,,,,v,Zato što ili je inženjer ili je pravnik.,1,a,"Zato što ih je pola pola a izvlači se samo jedna, šanse su najveće u ovoj igri.",1,a,Požrtvovano je radio ono što mu se sviđa.,1,1,2,3,2,5,5,4,3,3,3,4,5,4,4,3,5,5,4,2,4,5,
D,59,first,m,g,gimnazija,0,no,,,,g,,10,,,,v,Količnina radnika sa određenom diplomom ne utiče  na šansu da jedan od radnika te kompanije bude izabran. 50% je šanse d aje baš taj radnik inženjer i 50% je šanse d je pravnik.,1,a,U prvoj igri šansa je 50%. U drugoj i trećoj igri šansa je 90% posto ali ima 7 izvlačenja i u svakom mora biti crvena kugla. Šanse d aizvučemo 7 za redom mi deluju manje nego da izvučemo 1 gde su šanse pola pola.,1,a,"Savako ima hobi i nešto voli. To ne mora da znači da će se ta osoba baviti time. Po mom mišljenju šanse su 50% za oba, ali više ljudi se bavi pravom nego što sviraju klarinet",2,1,2,2,4,5,5,5,5,4,3,2,1,5,4,5,5,4,4,3,3,5,
D,60,first,m,g,gimnazija,0,no,,,,v,Veće su šanse da se izaberu brojevi iz što većeg domena.,1,,,,v,Zato što se može izabrati ili neko sa diplomom inženjera informacionih tehnologija ili neko sa diplomom pravnika.,1,a,Najveće šanse su u prvoj igri jer u druge dve veća je šansa da će izaći pogrešna kugla.,1,a,Ako nešto stvarno tako voli sledio bi svoje snove.,1,4,2,3,4,5,4,3,5,3,4,2,4,5,5,4,5,5,2,4,2,5,
